catalog_version,page_name,section_name_en,section_name_fr,display_order,max_raw_points,max_mitigation_points,mitigation_phase,point_type
0.8a1,businessDrivers,Business Driver / Positive Impact,Facteur opérationnel / Incidence positive,3,0,0,,none
0.8a1,riskProfile,Risk Profile,Profil de risque,4,13,0,,raw
0.8a1,projectAuthority,Project Authority,Autorité de projet,5,2,0,,raw
0.8a1,aboutSystem,About The System,À propos du système,6,0,0,,none
0.8a1,aboutAlgorithm,About the Algorithm,À propos de l'algorithme,7,6,0,,raw
0.8a1,decisionSector,About The Decision,À propos de la décision,8,6,0,,raw
0.8a1,impact,Impact Assessment,Évaluation de l'incidence,9,34,0,,raw
0.8a1,aboutData,About The Data,À propos des données,10,37,0,,raw
0.8a1,consultationDesign,Consultations,,11,0,2,design,mitigation
0.8a1,consultationImplementation,Consultations,,12,0,2,implementation,mitigation
0.8a1,dataQualityDesign,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,13,0,14,design,mitigation
0.8a1,dataQualityImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,14,0,14,implementation,mitigation
0.8a1,fairnessDesign,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,15,0,25,design,mitigation
0.8a1,fairnessImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,16,0,25,implementation,mitigation
0.8a1,privacyDesign,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,17,0,2,design,mitigation
0.8a1,privacyImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,18,0,2,implementation,mitigation
0.6,projectDetails,Project Details,Détails du projet,2,0,0,,none
0.6,businessDrivers,Business Driver / Positive Impact,Facteur opérationnel / Incidence positive,3,0,0,,none
0.6,riskProfile,Risk Profile,Profil de risque,4,13,0,,raw
0.6,projectAuthority,Project Authority,Autorité de projet,5,2,0,,raw
0.6,aboutSystem,About The System,À propos du système,6,0,0,,none
0.6,aboutAlgorithm,About the Algorithm,À propos de l'algorithme,7,6,0,,raw
0.6,decisionSector,About The Decision,À propos de la décision,8,6,0,,raw
0.6,impact,Impact Assessment,Évaluation de l'incidence,9,34,0,,raw
0.6,aboutData,About The Data,À propos des données,10,37,0,,raw
0.6,consultationDesign,Consultations,,11,0,2,design,mitigation
0.6,consultationImplementation,Consultations,,12,0,2,implementation,mitigation
0.6,dataQualityDesign,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,13,0,9,design,mitigation
0.6,dataQualityImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,14,0,10,implementation,mitigation
0.6,fairnessDesign,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,15,0,18,design,mitigation
0.6,fairnessImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,16,0,18,implementation,mitigation
0.6,privacyDesign,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,17,0,2,design,mitigation
0.6,privacyImplementation,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,18,0,2,implementation,mitigation
0.5,project-details,Project Details,Détails du projet,2,0,0,,none
0.5,business-drivers,Business Driver / Positive Impact,Facteur opérationnel / Incidence positive,3,0,0,,none
0.5,risk-profile,Risk Profile,Profil de risque,4,13,0,,raw
0.5,project-authority,Project Authority,Autorité de projet,5,2,0,,raw
0.5,about-system,About The System,À propos du système,6,0,0,,none
0.5,about-algorithm,About the Algorithm,À propos de l'algorithme,7,6,0,,raw
0.5,decision-sector,About The Decision,À propos de la décision,8,6,0,,raw
0.5,impact,Impact Assessment,Évaluation de l'incidence,9,8,0,,raw
0.5,data,About The Data,À propos des données,10,6,0,,raw
0.5,rm-consultation-design,Consultations,,11,0,2,design,mitigation
0.5,rm-consultation-implementation,Consultations,,12,0,2,implementation,mitigation
0.5,rm-data-quality-design,De-Risking And Mitigation Measures,Élimination des risques et mesure d'atténuation,13,0,0,,none
