og_record_id,title,department,resource_name,submission_label,publication_date,version_stated_in_pdf,fingerprint_best_version,fingerprint_match_share,fingerprint_hits,margin_over_runner_up,ranking,tied_identical_versions,resolved_version,version_source,confidence,text_chars,status
44fe9b0d-d730-43cf-ba7e-d952d55f88f2,Algorithmic Impact Assessment - CBSA Assessment and Revenue Management (CARM),,Algorithmic Impact Assessment - CBSA Assessment and Revenue Management (CARM),Original,2025-12-09,0.10.0,0.10.0,0.72,85,24,v0.10.0:85hits; v0.9:61hits; v0.9.1:61hits; v0.8a1:53hits,,0.10.0,stated_in_pdf,high,39031,ok
7612202f-1530-41ce-80c7-6e121f5fcadc,Algorithmic Impact Assessments Results - Voice 2 Text application,,Algorithmic Impact Assessments Results - Voice 2 Text application.,Original,2024-12-20,0.10.0,0.10.0,0.669,79,22,v0.10.0:79hits; v0.9:57hits; v0.9.1:57hits; v0.8a1:52hits,,0.10.0,stated_in_pdf,high,17853,ok
89898244-aaae-4591-ba9b-fe5cd81d5924,Algorithmic Impact Assessment Results - Griffeye Tool,,Algorithmic Impact Assessment Results - Griffeye Tool,Original,2024-03-26,0.10.0,0.10.0,0.686,81,23,v0.10.0:81hits; v0.9:58hits; v0.9.1:58hits; v0.8a1:53hits,,0.10.0,stated_in_pdf,high,24515,ok
b8a34d1b-d27f-4506-973c-d2ea2f68c623,Algorithmic Impact Assessment - CBSA Traveller Compliance Indicator,,CBSA Traveller Compliance Indicator – Algorithmic Impact Assessment ,Original,2026-08-18,0.10.0,0.10.0,0.72,85,24,v0.10.0:85hits; v0.9:61hits; v0.9.1:61hits; v0.8a1:53hits,,0.10.0,stated_in_pdf,high,48178,ok
c839bedc-0d5f-4b02-98a7-671d1f60ac51,Algorithmic Impact Assessment - Claim Summary Tool (CST),,Algorithmic Impact Assessment - Claim Summary Tool (CST),Original,2026-02-23,1.0.1,1.0.1,0.701,150,121,v1.0.0:150hits; v1.0.1:150hits; v0.10.0:29hits; v0.9:22hits,v1.0.0; v1.0.1,1.0.1,stated_in_pdf,high,67092,ok
eed746a8-a682-47c2-86b1-b427398fa2e2,Algorithmic Impact Assessment - Export Compliance Dashboard,,Algorithmic Impact Assessment - Export Compliance Dashboard,Original,2025-10-24,0.10.0,0.10.0,0.72,85,24,v0.10.0:85hits; v0.9:61hits; v0.9.1:61hits; v0.8a1:53hits,,0.10.0,stated_in_pdf,high,21915,ok
